Date update,Child sObject,Child field,Child value,Parent sObject,Parent field,Parent value,Error
2020-06-21  12:07:54.262,Contact,CleanStatus,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.270,Account,CleanStatus,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,DunsNumber,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,Tradestyle,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,NaicsCode,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,NaicsDesc,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,YearStarted,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.271,Account,FinServ__ClaimsOnHouseholdPolicies__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.272,Account,FinServ__HouseholdPolicies__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.272,Account,FinServ__InsuranceCustomerSince__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.274,Account,FinServ__TotalClaimAmountPaid__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.274,Account,FinServ__TotalHouseholdPremiums__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.284,Lead,CleanStatus,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2020-06-21  12:07:54.284,Lead,CompanyDunsNumber,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
